,tradeNum,total_return,winning_rate,max_drawdown,sharpe_ratio
94,378,0.933014989982663,0.5661375661375662,-0.4601360520285035,0.47472090725761645
95,174,0.6510480403925568,0.6206896551724138,-0.2156856697644744,0.7807259167681431
96,406,0.1117088194332219,0.5566502463054187,-0.29270614899019815,0.12226750768200734
97,114,0.3840896120541141,0.7017543859649122,-0.9777953781507296,0.31253429443034575
98,138,-0.19133418464548127,0.6304347826086957,-0.48978649675671887,-0.17453736167309403
99,153,0.387217577266991,0.738562091503268,-0.9586198522796897,0.3143916073565692
100,298,-0.17885816706644345,0.5436241610738255,-0.6254028030645632,-0.1907116801492601
101,124,-0.1838249193046779,0.5967741935483871,-0.39885143668072914,-0.19646473326366168
102,234,0.3822069305595252,0.5811965811965812,-0.1815851527722376,0.5446218280545007
103,146,0.7716508759512719,0.6712328767123288,-0.18963190120068532,0.8766125690045633
104,138,-0.0023908536537196223,0.6304347826086957,-0.402674690442642,-0.002367525427133944
105,211,0.550574350154868,0.6303317535545023,-0.32680535988594617,0.4695129511138133
106,399,0.14378061236392858,0.5639097744360902,-0.34289413267756474,0.15637661459852814
107,364,0.5621946426666649,0.5741758241758241,-0.27951875806295207,0.5107505529922435
108,354,-0.40775884272276713,0.5508474576271186,-0.5851143538640363,-0.3920524162102001
109,119,-0.18899878947561335,0.6134453781512605,-0.302193068430485,-0.22738844945552428
110,105,0.22292020589771672,0.6571428571428571,-0.2705942823786884,0.23828053307084576
111,128,0.01055140833049225,0.5390625,-0.3871771380065346,0.012878085000281383
112,121,0.16237684691867565,0.6528925619834711,-0.33247696525970943,0.1421630094818092
113,177,-0.05105672622840047,0.655367231638418,-0.5582152255365087,-0.06432313508373429
114,188,0.2616034101144788,0.6223404255319149,-0.21540640801775324,0.29663678394352866
115,141,-0.21218629554702007,0.6028368794326241,-0.7172877975889883,-0.16803405240222885
116,244,0.23656343352775333,0.5942622950819673,-0.6563825096580331,0.22993862026619066
117,295,0.15707280656132436,0.5423728813559322,-0.6134142285405897,0.14160292100895175
118,407,0.5681235415857859,0.5896805896805897,-0.34665370814457774,0.5010997414438061
119,117,0.46417471446981523,0.7094017094017094,-0.21700519047807476,0.5511838078487691
120,407,0.5886877904965051,0.5626535626535627,-0.36353128683522506,0.41748398306330503
121,359,0.3548879041778186,0.5515320334261838,-0.2105668408631822,0.4676830709586416
122,384,0.6519356570022377,0.6067708333333334,-0.30764412401177066,0.4956486223331695
123,286,-0.23770502768635304,0.5559440559440559,-0.4604340366951673,-0.24099882500627381
124,304,0.755605229145723,0.6118421052631579,-0.23029031079863357,0.6997241135556141
125,148,0.039246843106863896,0.6891891891891891,-0.30734656317622994,0.040243864946871544
126,186,0.9127178830547801,0.6344086021505376,-0.35117622118328184,0.8214198604402707
127,83,-1.1874476149787998,0.6144578313253012,-1.4843687599152948,-0.7740386461132848
128,355,-0.4787179365686486,0.5380281690140845,-0.6038536526655884,-0.3652296046142002
